county_fips,county_name,state,commercial_price,industrial_price
00060,nan,American Samoa,,
00064,nan,Federated States of Micronesia,,
00068,nan,Marshall Islands,,
00070,nan,Palau,,
00nan,<NA>,<NA>,,
01001,Autauga County,Alabama,0.13728943388827983,0.09172475769920081
01003,Baldwin County,Alabama,0.10976878470205524,0.01903562582073452
01005,Barbour County,Alabama,0.1477719625706841,0.09077842043690898
01007,Bibb County,Alabama,0.13464860552516592,0.07915873532463574
01009,Blount County,Alabama,0.11015974134385347,0.06526142938993455
01011,Bullock County,Alabama,0.14341934481926052,0.09469909723049431
01013,Butler County,Alabama,0.13551958026044267,0.08601046337741194
01015,Calhoun County,Alabama,0.114499835679972,0.066679620413282
01017,Chambers County,Alabama,0.15601734378315624,0.07251828941350442
01019,Cherokee County,Alabama,0.12471036841965646,0.0698405634114933
01021,Chilton County,Alabama,0.1372305699472752,0.09168303926097263
01023,Choctaw County,Alabama,0.13710819822170414,0.10470478854202166
01025,Clarke County,Alabama,0.13878106399351622,0.1058269985317568
01027,Clay County,Alabama,0.13828680083864853,0.0900165172537589
01029,Cleburne County,Alabama,0.13400489739020818,0.07462746317105702
01031,Coffee County,Alabama,0.14344845875238507,0.0758787252584829
01033,Colbert County,Alabama,0.11128714426950424,0.0669862868306556
01035,Conecuh County,Alabama,0.12018521536291471,0.09889712610638676
01037,Coosa County,Alabama,0.13887804279568397,0.09803253490983654
01039,Covington County,Alabama,0.1389920178569701,0.06595928923448162
01041,Crenshaw County,Alabama,0.1406124117788558,0.09901741830993836
01043,Cullman County,Alabama,0.11503631012192328,0.06704561347123703
01045,Dale County,Alabama,0.14843133708206607,0.0802121418575214
01047,Dallas County,Alabama,0.13757732742062723,0.09195297946179166
01049,DeKalb County,Alabama,0.11161237810301997,0.07019327736647434
01051,Elmore County,Alabama,0.13735838909847503,0.09198472029250514
01053,Escambia County,Alabama,0.1311794840276935,0.07820161226321837
01055,Etowah County,Alabama,0.11984246426805191,0.07012604764715213
01057,Fayette County,Alabama,0.13150578885516173,0.07244095983467162
01059,Franklin County,Alabama,0.1087245471111317,0.06608374736927553
01061,Geneva County,Alabama,0.1440490547545195,0.05426581162613233
01063,Greene County,Alabama,0.13642989942093445,0.1008327521387406
01065,Hale County,Alabama,0.1371053365687154,0.09719943624926548
01067,Henry County,Alabama,0.15511369087927307,0.07705352225208995
01069,Houston County,Alabama,0.1401021380310644,0.04555835380607727
01071,Jackson County,Alabama,0.11129378928299087,0.05847501174552309
01073,Jefferson County,Alabama,0.1076223483431245,0.06179895115460876
01075,Lamar County,Alabama,0.11167981242000065,0.06345217574981996
01077,Lauderdale County,Alabama,0.10602912680188907,0.0583400671190673
01079,Lawrence County,Alabama,0.10978376993344278,0.059281006788225704
01081,Lee County,Alabama,0.14015853486435093,0.08728181903253826
01083,Limestone County,Alabama,0.10024660693632581,0.061252738212847796
01085,Lowndes County,Alabama,0.1383685033643945,0.09184039928472704
01087,Macon County,Alabama,0.13968774670301323,0.09407972929706448
01089,Madison County,Alabama,0.09405618995089163,0.05905943539525312
01091,Marengo County,Alabama,0.13785331971447923,0.09607959522197033
01093,Marion County,Alabama,0.10650018930996721,0.061268172412407604
01095,Marshall County,Alabama,0.11650692697854606,0.0720977972057151
01097,Mobile County,Alabama,0.13924725769108676,0.07261765098235573
01099,Monroe County,Alabama,0.1325540057038197,0.09449340806165635
01101,Montgomery County,Alabama,0.14043652402143167,0.0830141408327756
01103,Morgan County,Alabama,0.10869099220921818,0.06238332834157311
01105,Perry County,Alabama,0.13669425128254814,0.09767992439798912
01107,Pickens County,Alabama,0.12436720439082799,0.07521691926369058
01109,Pike County,Alabama,0.13588371538424227,0.09612163014725457
01111,Randolph County,Alabama,0.13487648683080525,0.08796853888381574
01113,Russell County,Alabama,0.13184979500193342,0.09249478169077614
01115,St. Clair County,Alabama,0.13406949784767772,0.08001118119407193
01117,Shelby County,Alabama,0.13607113503774376,0.08323186342297416
01119,Sumter County,Alabama,0.12684818983180324,0.08615163073382635
01121,Talladega County,Alabama,0.14640322982997206,0.09250321022877703
01123,Tallapoosa County,Alabama,0.13389482140625483,0.09158500426024153
01125,Tuscaloosa County,Alabama,0.13803185038680904,0.08059711140341996
01127,Walker County,Alabama,0.12966380082913614,0.07163269672518902
01129,Washington County,Alabama,0.14085629999384194,0.1065830026657854
01131,Wilcox County,Alabama,0.1397910356742091,0.0980851122724344
01133,Winston County,Alabama,0.11212384758186053,0.06238933831040236
02013,Aleutians East Borough,Alaska,,
02016,Aleutians West Census Area,Alaska,,
02020,Anchorage Municipality,Alaska,0.17692054236033863,0.0682567786321327
02050,Bethel Census Area,Alaska,0.5456855401336564,0.0
02060,Bristol Bay Borough,Alaska,,
02063,Chugach Census Area,Alaska,0.1838719161480399,0.03412838931606635
